stage,run_id,repeat,profile,runners,intra_threads,interop_threads,pre_workers,post_workers,slots_per_runner,total_slots,cpu_cores,pin,iterations,status,result_dir,mode,batch,workers,slots,completed,wall_s,throughput_fps,equiv_fps_avg,equiv_fps_min,equiv_fps_max,equiv_fps_p95,equiv_fps_p99,completion_fps_avg,completion_fps_min,completion_fps_max,completion_fps_p95,completion_fps_p99,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms,latency_cv,latency_p99_minus_p50_ms,model_mean_ms,model_p95_ms,model_p99_ms,preprocess_mean_ms,preprocess_p95_ms,preprocess_p99_ms,postprocess_mean_ms,postprocess_p95_ms,postprocess_p99_ms,inter_completion_mean_ms,inter_completion_p95_ms,inter_completion_p99_ms
20_model_search,20_model_search__model-only__r4_i2_pre1_post1_spr1_c8_nopin__rep1__n90,1,model-only,4,2,1,0,0,1,4,8,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r4_i2_pre1_post1_spr1_c8_nopin__rep1__n90,max_model_only_throughput,1,4,4,90,15.529179070999817,5.795541386219942,1.460061854249575,1.1845123077890922,1.9632906736979128,1.286650810606645,1.193831455573135,5.795541386219942,2.083875397080174,129.48746917335933,3.2363216909090182,2.5247531053706065,684.9024903222117,673.984817499786,509.34892799978115,844.2293030002475,757.0860399994672,777.2116503999313,837.6391787397824,57.42372343057097,0.08384218810995421,163.65436123999643,684.9024903222117,777.2116503999313,837.6391787397824,0.0,0.0,0.0,0.0,0.0,0.0,167.14450875281656,308.99276879954414,396.07833252004684
20_model_search,20_model_search__model-only__r4_i1_pre1_post1_spr1_c4_pin__rep1__n90,1,model-only,4,1,1,0,0,1,4,4,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r4_i1_pre1_post1_spr1_c4_pin__rep1__n90,max_model_only_throughput,1,4,4,90,15.974988275000214,5.633806951886404,1.4236326498375533,1.046013066698782,1.7585358936620366,1.2267646424765448,1.1309965637186086,5.633806951886404,1.7013256734754536,292.90759407946905,2.599397823604609,2.124529394657758,702.4283969000761,695.117164000294,568.654869999591,956.0110020001957,771.7433243004053,815.1522838001256,884.1759843302225,60.35266161697652,0.08592001958252547,189.0588203299285,702.4283969000761,815.1522838001256,884.1759843302225,0.0,0.0,0.0,0.0,0.0,0.0,171.5655767752804,384.7044845999335,470.6924754793005
20_model_search,20_model_search__model-only__r2_i2_pre1_post1_spr1_c4_nopin__rep1__n90,1,model-only,2,2,1,0,0,1,2,4,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r2_i2_pre1_post1_spr1_c4_nopin__rep1__n90,max_model_only_throughput,1,2,2,90,16.751434591999896,5.3726741734097185,2.694579595219338,2.2676068001208938,3.27963964159382,2.454743472686493,2.3272554922435456,5.3726741734097185,2.6358483627503633,294.2685029154645,2.8733381154649367,2.7088748512058265,371.1154058221837,369.0063369999734,304.91154799983633,440.9935619996759,401.76764499974524,407.3745428501297,429.6906821502307,22.801452387880857,0.06144032834574901,60.684345150257286,371.1154058221837,407.3745428501297,429.6906821502307,0.0,0.0,0.0,0.0,0.0,0.0,184.2418964719032,348.02726300040376,369.1569581204022
20_model_search,20_model_search__model-only__r8_i1_pre1_post1_spr1_c8_pin__rep1__n90,1,model-only,8,1,1,0,0,1,8,8,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r8_i1_pre1_post1_spr1_c8_pin__rep1__n90,max_model_only_throughput,1,8,8,90,16.90408824900078,5.324155829896357,0.6773871214097004,0.5925140366428692,1.2253257441487826,0.6127806040193341,0.5930689661142912,5.324155829896357,0.8523698838790985,3980.0678131804957,1.865262729568377,0.9708296456679737,1476.2607206332987,1481.279240999811,816.1095160003242,1687.7237299995613,1613.0008412997995,1631.905437999876,1686.144541589938,126.35201404123988,0.08558922707571352,204.86530059012694,1476.2607206332987,1631.905437999876,1686.144541589938,0.0,0.0,0.0,0.0,0.0,0.0,174.63301250562213,536.1175046002236,1030.046831040018
20_model_search,20_model_search__model-only__r8_i2_pre1_post1_spr1_c16_nopin__rep1__n90,1,model-only,8,2,1,0,0,1,8,16,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r8_i2_pre1_post1_spr1_c16_nopin__rep1__n90,max_model_only_throughput,1,8,8,90,17.23430770899995,5.222141876519994,0.6618976978817062,0.5405359801699805,1.053873570059045,0.5829019631717828,0.5420395233799709,5.222141876519994,0.9807978629376248,3491.15690663349,1.6916007815532315,1.1909001111066806,1510.807490644452,1518.2576134998271,948.8804239999808,1850.0156079999215,1666.9058135999876,1715.5543524997483,1844.883918730402,153.17264157564497,0.10138461883737912,326.62630523057487,1510.807490644452,1715.5543524997483,1844.883918730402,0.0,0.0,0.0,0.0,0.0,0.0,177.36478240450003,591.1560286001984,839.7009880792766
20_model_search,20_model_search__model-only__r1_i8_pre1_post1_spr1_c8_nopin__rep1__n90,1,model-only,1,8,1,0,0,1,1,8,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i8_pre1_post1_spr1_c8_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,17.64823727000021,5.099659451711289,5.100156521000175,0.6834638669696359,6.438139828772757,5.1198714910600325,0.8701011263622207,5.099659451711289,0.683455648976048,6.437462156998388,5.143086667934989,0.86742646722059,196.07241383327062,171.28829400007817,155.3243680000378,1463.13513899986,188.86845230008478,195.3174023500651,1149.2916969098403,166.86080570365795,0.8510162263088542,978.0034029097621,196.07241383327062,195.3174023500651,1149.2916969098403,0.0,0.0,0.0,0.0,0.0,0.0,196.08316102247127,194.43576680023398,1152.8354711197624
20_model_search,20_model_search__model-only__r16_i1_pre1_post1_spr1_c16_pin__rep1__n90,1,model-only,16,1,1,0,0,1,16,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r16_i1_pre1_post1_spr1_c16_pin__rep1__n90,max_model_only_throughput,1,16,16,90,18.3754869910008,4.897829376934421,0.3179928730722594,0.24943508148531782,0.6447294434702462,0.27114693554376723,0.24971030309101777,4.897829376934421,0.7166309222506915,4061.3590048400843,1.3996535759425017,1.093238730119665,3144.724566744501,3200.3355804999956,1551.0382069996922,4009.0591669995774,3581.9390190995364,3688.0372554997393,4004.6405279301052,481.009295847528,0.15295752796101983,804.3049474301097,3144.724566744501,3688.0372554997393,4004.6405279301052,0.0,0.0,0.0,0.0,0.0,0.0,176.71518876404355,714.4625049999374,914.7132940401232
20_model_search,20_model_search__model-only__r1_i4_pre1_post1_spr1_c4_nopin__rep1__n90,1,model-only,1,4,1,0,0,1,1,4,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i4_pre1_post1_spr1_c4_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,18.38805393199982,4.8944820551878765,4.894935151345739,3.463005433254156,5.406821641965536,4.465148483635401,4.098890070741034,4.8944820551878765,3.4627652779862266,5.406286600896481,4.464236476149873,4.0901356015719355,204.29279838877443,206.02932799965856,184.95154199990793,288.7665120006204,221.54082720007864,223.9567180497943,243.96848481940648,16.50573310973897,0.08079449319759249,37.93915681974792,204.29279838877443,223.9567180497943,243.96848481940648,0.0,0.0,0.0,0.0,0.0,0.0,204.1256825730343,224.00247059995309,244.49067156005208
20_model_search,20_model_search__model-only__r1_i16_pre1_post1_spr1_c16_nopin__rep1__n90,1,model-only,1,16,1,0,0,1,1,16,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i16_pre1_post1_spr1_c16_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,18.57554013799927,4.845081183716992,4.845560607152582,4.090268880159119,5.559810107578195,4.340805957213486,4.207449602237306,4.845081183716992,4.089967857308574,5.559270970751811,4.339755583124718,4.205759125540098,206.37446955547097,207.98658849935237,179.86225799995736,244.48270500033686,225.58961170016119,230.37196544992184,237.67367277988342,14.934946225320958,0.07236818709935738,29.687084280531053,206.37446955547097,230.37196544992184,237.67367277988342,0.0,0.0,0.0,0.0,0.0,0.0,206.13581914606104,230.42772360004165,237.7692041199771
20_model_search,20_model_search__model-only__r2_i1_pre1_post1_spr1_c2_pin__rep1__n90,1,model-only,2,1,1,0,0,1,2,2,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r2_i1_pre1_post1_spr1_c2_pin__rep1__n90,max_model_only_throughput,1,2,2,90,23.731786397000178,3.792382018547768,1.91327705313097,1.6579945950211668,2.2889150469649295,1.76194009605977,1.6657319552271008,3.792382018547768,1.837379720277762,141.78639227074916,1.9394059521434366,1.8384209923460295,522.6634576333607,517.644077499881,436.88821100022324,603.1382749997647,557.0584469998721,567.5561855004617,600.3366849402028,26.623609027699214,0.05093834022422744,82.69260744032181,522.6634576333607,567.5561855004617,600.3366849402028,0.0,0.0,0.0,0.0,0.0,0.0,260.5052488426961,515.6218062003973,543.9450507600486
20_model_search,20_model_search__model-only__r1_i2_pre1_post1_spr1_c2_nopin__rep1__n90,1,model-only,1,2,1,0,0,1,1,2,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i2_pre1_post1_spr1_c2_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,27.57660734199999,3.2636356925214414,3.2638426561367124,2.5391611523615114,3.453315929036232,2.608910676208501,2.548601088114252,3.2636356925214414,2.539035848057651,3.453108761654445,2.6084713467736194,2.5483495054076113,306.3873186778134,293.60410350000166,289.57674899993435,393.8308520000646,360.1521494003465,383.3017393501905,392.37211530028617,29.15290797003332,0.09515050458302268,98.76801180028451,306.3873186778134,383.3017393501905,392.37211530028617,0.0,0.0,0.0,0.0,0.0,0.0,306.3051138764054,383.3662966000702,392.41085176032357
20_model_search,20_model_search__model-only__r1_i1_pre1_post1_spr1_c1_nopin__rep1__n90,1,model-only,1,1,1,0,0,1,1,1,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i1_pre1_post1_spr1_c1_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,42.99974050499986,2.0930358867987846,2.093189095242892,1.8015306049032063,2.2974563408862774,1.9220366935317614,1.8022537668455143,2.0930358867987846,1.801452894457936,2.2973544424396315,1.9214233365464402,1.8021858177920518,477.7399243444658,470.1177620004273,435.26398399990285,555.0835479998568,512.0681522997984,520.2814303001105,554.8608183798115,24.891383053212227,0.05210237157249755,84.74305637938414,477.7399243444658,520.2814303001105,554.8608183798115,0.0,0.0,0.0,0.0,0.0,0.0,477.55185793258545,520.4475145999822,554.8817386795054
20_model_search,20_model_search__model-only__r1_i1_pre1_post1_spr1_c1_pin__rep1__n90,1,model-only,1,1,1,0,0,1,1,1,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i1_pre1_post1_spr1_c1_pin__rep1__n90,max_model_only_throughput,1,1,1,90,44.229820788000325,2.0348262415844394,2.0349778887695034,1.7074014900135883,2.247655124236248,1.872975227271979,1.7617665286089057,2.0348262415844394,1.707349122610123,2.2475735381468676,1.8726514448561185,1.761081782858065,491.4058307555731,490.5808835001153,444.9081130005652,585.6853270006468,527.7451896999992,533.9098912997997,567.6121005599998,27.68524092365914,0.05633885312490293,77.03121705988451,491.4058307555731,533.9098912997997,567.6121005599998,0.0,0.0,0.0,0.0,0.0,0.0,491.1086132134811,534.0022045997102,567.8328001196497
